Experiment; Time; X; Y; Z
Simple Physics Engine - Hilly Terrain - Fast z; 7.20; 1.60; -1.00; 22.00
Simple Physics Engine - Hilly Terrain - Fast z; 7.30; 1.61; -0.98; 21.79
Simple Physics Engine - Hilly Terrain - Fast z; 7.40; 1.62; -0.93; 21.62
Simple Physics Engine - Hilly Terrain - Fast z; 7.50; 1.62; -0.88; 21.50
Simple Physics Engine - Hilly Terrain - Fast z; 7.60; 1.62; -0.86; 21.45
Simple Physics Engine - Hilly Terrain - Fast z; 7.70; 1.62; -0.86; 21.47
Simple Physics Engine - Hilly Terrain - Fast z; 7.80; 1.61; -0.89; 21.51
Simple Physics Engine - Hilly Terrain - Fast z; 7.90; 1.60; -0.92; 21.59
Simple Physics Engine - Hilly Terrain - Fast z; 8.00; 1.59; -0.95; 21.68
Simple Physics Engine - Hilly Terrain - Fast z; 8.10; 1.59; -0.98; 21.78
Simple Physics Engine - Hilly Terrain - Fast z; 8.20; 1.58; -0.99; 21.89
Simple Physics Engine - Hilly Terrain - Fast z; 8.30; 1.57; -1.00; 21.98
Simple Physics Engine - Hilly Terrain - Fast z; 8.40; 1.56; -1.00; 22.06
Simple Physics Engine - Hilly Terrain - Fast z; 8.50; 1.56; -0.99; 22.11
Simple Physics Engine - Hilly Terrain - Fast z; 8.60; 1.56; -0.99; 22.12
Simple Physics Engine - Hilly Terrain - Fast z; 8.70; 1.56; -0.99; 22.12
