Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Fast z; 7.20; 1.49; -0.98; 28.06
Complete Physics Engine - Hilly Terrain - Fast z; 7.30; 1.27; -0.94; 28.10
Complete Physics Engine - Hilly Terrain - Fast z; 7.40; 1.10; -0.88; 28.15
Complete Physics Engine - Hilly Terrain - Fast z; 7.50; 0.97; -0.83; 28.21
Complete Physics Engine - Hilly Terrain - Fast z; 7.60; 0.91; -0.79; 28.26
Complete Physics Engine - Hilly Terrain - Fast z; 7.70; 0.89; -0.78; 28.30
Complete Physics Engine - Hilly Terrain - Fast z; 7.80; 0.91; -0.79; 28.32
Complete Physics Engine - Hilly Terrain - Fast z; 7.90; 0.97; -0.82; 28.33
Complete Physics Engine - Hilly Terrain - Fast z; 8.00; 1.05; -0.87; 28.34
Complete Physics Engine - Hilly Terrain - Fast z; 8.10; 1.16; -0.91; 28.35
Complete Physics Engine - Hilly Terrain - Fast z; 8.20; 1.28; -0.96; 28.34
Complete Physics Engine - Hilly Terrain - Fast z; 8.30; 1.41; -0.99; 28.34
Complete Physics Engine - Hilly Terrain - Fast z; 8.40; 1.54; -1.00; 28.32
Complete Physics Engine - Hilly Terrain - Fast z; 8.50; 1.65; -1.00; 28.31
Complete Physics Engine - Hilly Terrain - Fast z; 8.60; 1.73; -0.99; 28.29
Complete Physics Engine - Hilly Terrain - Fast z; 8.70; 1.78; -0.98; 28.28
Complete Physics Engine - Hilly Terrain - Fast z; 8.80; 1.79; -0.98; 28.27
