Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Fast x; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,10; 0,97; 0,83; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,20; 1,90; 0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,30; 2,85; 0,29; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,40; 2,85; 0,29; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,50; 3,84; -0,64; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,60; 4,86; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,70; 5,85; -0,42; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,80; 6,78; 0,48; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 0,90; 7,66; 0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,00; 8,52; 0,79; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,10; 9,41; 0,01; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,20; 10,34; -0,80; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,30; 10,34; -0,80; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,40; 11,30; -0,95; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,50; 12,22; -0,34; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,60; 13,07; 0,49; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,70; 13,88; 0,97; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,80; 14,66; 0,87; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 1,90; 15,47; 0,24; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,00; 16,32; -0,57; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,10; 17,20; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,20; 18,07; -0,70; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,30; 18,88; 0,03; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,40; 19,64; 0,71; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,50; 20,35; 1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,60; 21,05; 0,81; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,70; 21,78; 0,21; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,80; 22,55; -0,53; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 2,90; 23,35; -0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,00; 24,16; -0,83; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,10; 24,91; -0,22; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,20; 25,60; 0,45; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,30; 25,60; 0,45; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,40; 26,24; 0,89; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,50; 26,84; 0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,60; 27,44; 0,74; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,70; 28,08; 0,19; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,80; 28,76; -0,47; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 3,90; 29,48; -0,93; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,00; 30,20; -0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,10; 30,89; -0,51; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,20; 31,51; 0,09; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,30; 32,08; 0,61; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,40; 32,59; 0,92; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,50; 33,07; 1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,60; 33,55; 0,85; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,70; 34,06; 0,48; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,80; 34,61; -0,06; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 4,90; 35,21; -0,61; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,00; 35,84; -0,96; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,10; 36,47; -0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,20; 37,06; -0,59; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,30; 37,59; -0,10; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,40; 38,07; 0,36; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,50; 38,49; 0,71; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,60; 38,85; 0,91; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,70; 39,18; 1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,80; 39,49; 0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 5,90; 39,81; 0,86; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,00; 40,17; 0,62; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,10; 40,57; 0,27; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,20; 41,01; -0,17; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,30; 41,49; -0,60; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,40; 42,00; -0,92; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,50; 42,53; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,60; 43,03; -0,81; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,70; 43,48; -0,48; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,80; 43,86; -0,12; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 6,90; 44,19; 0,20; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,00; 44,46; 0,46; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,10; 44,68; 0,64; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,20; 44,84; 0,76; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,30; 44,96; 0,83; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,40; 45,02; 0,86; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,50; 45,04; 0,87; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,60; 45,03; 0,86; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,70; 44,97; 0,84; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,80; 44,88; 0,78; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 7,90; 44,76; 0,70; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,00; 44,59; 0,57; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,10; 44,38; 0,39; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,20; 44,12; 0,14; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,30; 43,83; -0,16; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,40; 43,49; -0,47; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,50; 43,12; -0,76; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,60; 42,71; -0,95; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,70; 42,30; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,80; 41,92; -0,88; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 8,90; 41,59; -0,68; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,00; 41,32; -0,46; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,10; 41,11; -0,27; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,20; 40,96; -0,12; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,30; 40,87; -0,03; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,40; 40,84; 0,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,50; 40,86; -0,02; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,60; 40,92; -0,07; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,70; 41,01; -0,17; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,80; 41,15; -0,31; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 9,90; 41,33; -0,47; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,00; 41,54; -0,65; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,10; 41,79; -0,81; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,20; 42,07; -0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,30; 42,35; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,40; 42,63; -0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,50; 42,86; -0,90; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,60; 43,05; -0,81; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,70; 43,17; -0,72; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,80; 43,24; -0,68; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 10,90; 43,25; -0,67; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,00; 43,21; -0,70; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,10; 43,14; -0,74; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,20; 43,04; -0,81; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,30; 42,92; -0,88; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,40; 42,77; -0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,50; 42,60; -0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,60; 42,44; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,70; 42,30; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,80; 42,18; -0,97; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 11,90; 42,11; -0,95; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,00; 42,07; -0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,10; 42,08; -0,94; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,20; 42,10; -0,95; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,30; 42,12; -0,96; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,40; 42,16; -0,97; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,50; 42,20; -0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,60; 42,24; -0,98; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,70; 42,28; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,80; 42,31; -0,99; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 12,90; 42,33; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 13,00; 42,34; -1,00; 0,00
Complete Physics Engine - Hilly Terrain - Fast x; 13,10; 42,34; -1,00; 0,00
