Experiment; Time; X; Y; Z
Complete Physics Engine - Hilly Terrain - Diagonal; 7,00; 11,10; -0,97; 12,80
Complete Physics Engine - Hilly Terrain - Diagonal; 7,10; 11,12; -0,96; 12,82
Complete Physics Engine - Hilly Terrain - Diagonal; 7,20; 11,12; -0,96; 12,81
Complete Physics Engine - Hilly Terrain - Diagonal; 7,30; 11,12; -0,97; 12,80
Complete Physics Engine - Hilly Terrain - Diagonal; 7,40; 11,11; -0,97; 12,78
Complete Physics Engine - Hilly Terrain - Diagonal; 7,50; 11,09; -0,98; 12,76
Complete Physics Engine - Hilly Terrain - Diagonal; 7,60; 11,08; -0,98; 12,73
Complete Physics Engine - Hilly Terrain - Diagonal; 7,70; 11,07; -0,99; 12,71
Complete Physics Engine - Hilly Terrain - Diagonal; 7,80; 11,06; -0,99; 12,69
Complete Physics Engine - Hilly Terrain - Diagonal; 7,90; 11,05; -0,99; 12,68
Complete Physics Engine - Hilly Terrain - Diagonal; 8,00; 11,05; -0,99; 12,67
Complete Physics Engine - Hilly Terrain - Diagonal; 8,10; 11,05; -0,99; 12,67
Complete Physics Engine - Hilly Terrain - Diagonal; 8,20; 11,05; -0,99; 12,67
