Experiment; Time; X; Y; Z
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,10; 0,99; 8,39; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,20; 1,96; 9,24; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,30; 2,92; 2,16; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,40; 2,92; 2,16; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,50; 3,90; -6,85; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,60; 4,89; -9,85; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,70; 5,86; -4,09; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,80; 6,83; 5,16; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 0,90; 7,78; 9,97; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,00; 8,71; 6,54; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,10; 9,66; -2,36; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,20; 10,62; -9,32; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,30; 10,62; -9,32; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,40; 11,58; -8,34; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,50; 12,51; -0,61; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,60; 13,42; 7,54; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,70; 14,32; 9,84; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,80; 15,22; 4,70; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 1,90; 16,13; -4,14; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,00; 17,06; -9,76; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,10; 17,99; -7,56; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,20; 18,90; 0,53; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,30; 19,80; 8,15; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,40; 20,68; 9,67; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,50; 21,55; 4,24; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,60; 22,44; -4,36; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,70; 23,34; -9,76; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,80; 24,24; -7,76; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 2,90; 25,13; -0,06; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,00; 26,00; 7,61; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,10; 26,85; 9,89; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,20; 27,71; 5,35; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,30; 27,71; 5,35; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,40; 28,58; -3,04; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,50; 29,47; -9,30; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,60; 30,34; -8,78; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,70; 31,19; -2,23; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,80; 32,03; 5,73; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 3,90; 32,85; 9,90; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,00; 33,66; 7,83; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,10; 34,49; 0,71; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,20; 35,33; -6,95; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,30; 36,18; -9,99; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,40; 37,02; -6,30; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,50; 37,84; 1,41; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,60; 38,65; 8,15; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,70; 39,44; 9,85; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,80; 40,24; 5,68; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 4,90; 41,05; -2,03; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,00; 41,86; -8,54; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,10; 42,71; -9,57; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,20; 43,55; -4,22; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,30; 44,37; 3,82; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,40; 45,19; 9,35; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,50; 46,00; 9,01; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,60; 46,83; 2,86; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,70; 47,68; -5,25; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,80; 48,53; -9,87; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 5,90; 49,39; -7,67; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,00; 50,23; -0,33; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,10; 51,06; 7,16; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,20; 51,88; 9,99; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,30; 52,70; 6,51; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,40; 53,53; -1,26; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,50; 54,38; -8,26; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,60; 55,25; -9,64; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,70; 56,11; -4,25; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,80; 56,96; 4,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 6,90; 57,80; 9,49; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,00; 58,64; 8,68; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,10; 59,50; 1,84; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,20; 60,38; -6,36; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,30; 61,27; -10,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,40; 62,15; -6,31; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,50; 63,01; 1,81; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,60; 63,87; 8,60; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,70; 64,69; 9,58; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,80; 65,52; 4,41; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 7,90; 66,35; -3,70; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,00; 67,20; -9,41; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,10; 68,04; -8,80; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,20; 68,85; -2,65; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,30; 69,64; 5,04; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,40; 70,43; 9,67; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,50; 71,21; 8,65; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,60; 72,02; 2,35; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,70; 72,84; -5,49; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,80; 73,67; -9,87; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 8,90; 74,51; -7,78; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,00; 75,32; -0,74; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,10; 76,13; 6,69; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,20; 76,92; 9,99; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,30; 77,70; 7,44; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,40; 78,50; 0,44; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,50; 79,30; -6,90; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,60; 80,12; -10,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,70; 80,93; -6,81; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,80; 81,73; 0,44; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 9,90; 82,51; 7,36; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,00; 83,28; 10,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,10; 84,04; 7,02; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,20; 84,83; -0,06; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,30; 85,62; -7,18; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,40; 86,43; -9,99; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,50; 87,23; -6,72; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,60; 88,01; 0,42; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,70; 88,77; 7,24; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,80; 89,53; 10,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 10,90; 90,27; 7,41; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,00; 91,03; 0,73; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,10; 91,81; -6,44; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,20; 92,59; -9,96; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,30; 93,39; -7,59; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,40; 94,16; -0,86; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,50; 94,93; 6,28; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,60; 95,68; 9,90; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,70; 96,42; 8,25; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,80; 97,18; 2,07; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 11,90; 97,95; -5,34; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,00; 98,74; -9,75; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,10; 99,52; -8,47; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,20; 100,28; -2,48; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,30; 101,03; 4,77; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,40; 101,76; 9,44; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,50; 102,49; 9,25; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,60; 103,24; 4,24; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,70; 103,99; -3,12; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,80; 104,76; -8,83; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 12,90; 105,54; -9,55; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,00; 106,33; -4,64; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,10; 107,11; 2,87; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,20; 107,87; 8,70; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,30; 108,61; 9,76; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,40; 109,34; 5,75; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,50; 110,09; -1,38; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,60; 110,85; -7,83; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,70; 111,63; -9,94; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,80; 112,40; -6,46; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 13,90; 113,14; 0,45; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,00; 113,88; 7,05; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,10; 114,60; 9,98; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,20; 115,31; 8,02; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,30; 116,03; 2,04; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,40; 116,77; -5,07; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,50; 117,52; -9,58; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,60; 118,26; -9,00; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,70; 118,97; -3,97; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,80; 119,67; 2,86; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 14,90; 120,36; 8,30; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,00; 121,03; 9,97; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,10; 121,70; 7,30; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,20; 122,40; 1,25; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,30; 123,10; -5,46; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,40; 123,81; -9,61; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,50; 124,52; -9,08; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,60; 125,20; -4,46; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,70; 125,87; 2,02; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,80; 126,52; 7,57; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 15,90; 127,16; 9,97; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,00; 127,79; 8,52; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,10; 128,43; 3,66; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,20; 129,09; -2,79; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,30; 129,76; -8,13; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,40; 130,44; -9,98; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,50; 131,11; -7,43; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,60; 131,76; -1,86; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,70; 132,40; 4,37; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,80; 133,03; 8,83; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 16,90; 133,63; 9,94; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,00; 134,24; 7,48; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,10; 134,87; 2,17; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,20; 135,51; -4,06; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,30; 136,16; -8,76; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,40; 136,83; -9,86; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,50; 137,49; -6,77; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,60; 138,13; -0,97; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,70; 138,77; 5,13; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,80; 139,39; 9,18; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 17,90; 139,98; 9,83; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 18,00; 140,58; 7,11; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 18,10; 141,19; 1,80; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 18,20; 141,81; -4,25; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 18,30; 142,44; -8,77; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 18,40; 143,10; -9,88; 0,00
Complete Physics Engine - Steep Hilly Terrain - Fast x; 18,50; 143,74; -6,99; 0,00
