Experiment; Time; X; Y; Z
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,00; 0,00; 0,00; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,10; 0,19; 0,02; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,20; 0,34; 0,03; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,30; 0,47; 0,05; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,40; 0,57; 0,05; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,50; 0,64; 0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,60; 0,69; 0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,70; 0,70; 0,06; 0,00
Complete Physics Engine - Gentle Hilly Terrain - Slow x; 0,80; 0,70; 0,06; 0,00
